filename,participant,control/sophie,pre/post,word_count,content,empower,explicit,empathy
p19_post_w_speaker.txt,p19,control,post,1023.0,[Redacted],0.4375,0.3125,0.4375
p23_post_w_speaker.txt,p23,control,post,901.0,[Redacted],0.3181818181818182,0.2272727272727272,0.6363636363636364
p23_pre_w_speaker.txt,p23,control,pre,745.0,[Redacted],0.0769230769230769,0.4615384615384615,0.3846153846153846
p24_post_w_speaker.txt,p24,control,post,1361.0,[Redacted],0.5833333333333334,0.3333333333333333,0.75
p24_pre_w_speaker.txt,p24,control,pre,1068.0,[Redacted],0.8571428571428571,0.5714285714285714,0.7857142857142857
p29_post_w_speaker.txt,p29,control,post,892.0,[Redacted],0.5,0.2857142857142857,0.5714285714285714
p29_pre_w_speaker.txt,p29,control,pre,920.0,[Redacted],0.75,0.4166666666666667,0.8333333333333334
p30_post_w_speaker.txt,p30,control,post,453.0,[Redacted],0.0,0.4166666666666667,0.5
p30_pre_w_speaker.txt,p30,control,pre,577.0,[Redacted],0.0,0.1818181818181818,0.3636363636363636
p33_post_w_speaker.txt,p33,control,post,1018.0,[Redacted],0.6666666666666666,0.2666666666666666,0.6666666666666666
p33_pre_w_speaker.txt,p33,control,pre,1098.0,[Redacted],0.6111111111111112,0.3333333333333333,0.8333333333333334
p34_pre_w_speaker.txt,p34,control,pre,835.0,[Redacted],0.5,0.25,0.65
p36_post_w_speaker.txt,p36,control,post,775.0,[Redacted],0.5714285714285714,0.4285714285714285,0.5714285714285714
p36_pre_w_speaker.txt,p36,control,pre,987.0,[Redacted],0.7222222222222222,0.3888888888888889,0.5555555555555556
p38_post_w_speaker.txt,p38,control,post,648.0,[Redacted],0.5882352941176471,0.2941176470588235,0.7058823529411765
p38_pre_w_speaker.txt,p38,control,pre,785.0,[Redacted],0.6,0.4,0.5333333333333333
p44_post_w_speaker.txt,p44,control,post,687.0,[Redacted],0.631578947368421,0.3157894736842105,0.5789473684210527
p44_pre_w_speaker.txt,p44,control,pre,940.0,[Redacted],0.6666666666666666,0.1904761904761904,0.4761904761904761
p45_post_w_speaker.txt,p45,control,post,955.0,[Redacted],0.1333333333333333,0.3333333333333333,0.4
p45_pre_w_speaker.txt,p45,control,pre,963.0,[Redacted],0.2307692307692307,0.3461538461538461,0.3076923076923077
p5_post_w_speaker.txt,p5,control,post,1315.0,[Redacted],0.631578947368421,0.4210526315789473,0.7894736842105263
