filename,participant,control/sophie,pre/post,word_count,content,LLM_SUM_EMPOWER,LLM_SUM_EXPLICIT,LLM_SUM_EMPATHY,LLM_SUM_ALL
p19_post_w_speaker.txt,p19,control,post,1023.0,[Redacted],0.4,0.7142857142857143,0.5666666666666667,0.5416666666666666
p23_post_w_speaker.txt,p23,control,post,901.0,[Redacted],0.3555555555555555,0.5714285714285714,0.3333333333333333,0.4
p23_pre_w_speaker.txt,p23,control,pre,745.0,[Redacted],0.2,0.2857142857142857,0.1666666666666666,0.2083333333333333
p24_post_w_speaker.txt,p24,control,post,1361.0,[Redacted],0.5111111111111111,0.4857142857142857,0.6333333333333333,0.5333333333333333
p24_pre_w_speaker.txt,p24,control,pre,1068.0,[Redacted],0.2888888888888888,0.5714285714285714,0.4666666666666667,0.4083333333333333
p29_post_w_speaker.txt,p29,control,post,892.0,[Redacted],0.4888888888888889,0.5428571428571428,0.7,0.5666666666666667
p29_pre_w_speaker.txt,p29,control,pre,920.0,[Redacted],0.2222222222222222,0.6285714285714286,0.5,0.4166666666666667
p30_post_w_speaker.txt,p30,control,post,453.0,[Redacted],0.2444444444444444,0.7714285714285715,0.2666666666666666,0.4083333333333333
p30_pre_w_speaker.txt,p30,control,pre,577.0,[Redacted],0.2444444444444444,0.4571428571428571,0.3666666666666666,0.3333333333333333
p33_post_w_speaker.txt,p33,control,post,1018.0,[Redacted],0.4666666666666667,0.4857142857142857,0.6,0.5
p33_pre_w_speaker.txt,p33,control,pre,1098.0,[Redacted],0.4444444444444444,0.8,0.6666666666666666,0.6166666666666667
p34_pre_w_speaker.txt,p34,control,pre,835.0,[Redacted],0.4,0.7428571428571429,0.6666666666666666,0.575
p36_post_w_speaker.txt,p36,control,post,775.0,[Redacted],0.4444444444444444,0.4285714285714285,0.4333333333333333,0.425
p36_pre_w_speaker.txt,p36,control,pre,987.0,[Redacted],0.4888888888888889,0.8,0.5666666666666667,0.6
p38_post_w_speaker.txt,p38,control,post,648.0,[Redacted],0.3333333333333333,0.5714285714285714,0.5333333333333333,0.45
p38_pre_w_speaker.txt,p38,control,pre,785.0,[Redacted],0.2666666666666666,0.6,0.5,0.4166666666666667
p44_post_w_speaker.txt,p44,control,post,687.0,[Redacted],0.6222222222222222,0.8,0.6333333333333333,0.675
p44_pre_w_speaker.txt,p44,control,pre,940.0,[Redacted],0.5333333333333333,0.6857142857142857,0.5333333333333333,0.575
p45_post_w_speaker.txt,p45,control,post,955.0,[Redacted],0.2666666666666666,0.5714285714285714,0.3,0.3583333333333333
p45_pre_w_speaker.txt,p45,control,pre,963.0,[Redacted],0.3111111111111111,0.4571428571428571,0.4,0.3666666666666666
p5_post_w_speaker.txt,p5,control,post,1315.0,[Redacted],0.4666666666666667,0.5428571428571428,0.5,0.4916666666666666
p5_pre_w_speaker.txt,p5,control,pre,1073.0,[Redacted],0.4222222222222222,0.8,0.5666666666666667,0.5666666666666667
p54_post_w_speaker.txt,p54,control,post,806.0,[Redacted],0.5111111111111111,0.6571428571428571,0.5,0.5416666666666666
p54_pre_w_speaker.txt,p54,control,pre,709.0,[Redacted],0.3111111111111111,0.6857142857142857,0.6666666666666666,0.5166666666666667
p56_pre_w_speaker.txt,p56,control,pre,1219.0,[Redacted],0.4444444444444444,0.4571428571428571,0.6,0.4833333333333333
p58_post_w_speaker.txt,p58,control,post,585.0,[Redacted],0.3555555555555555,0.8,0.5,0.5166666666666667
